COUNTY,zip code,population,County Population,Number Registered/County,Registration Rate/County,num registered voters,num voted,did not vote,Turnout Rate,latitude,longitude,,
Hillsborough,33626,33535,1397000,910069,65%,33382,"14,115","19,267",42%,28.067196,-82.613677,,
Hillsborough,33629,24930,1397000,910069,65%,22395,"15,507","19,035",69%,27.921808,-82.508953,,
Hillsborough,33634,22560,1397000,910069,65%,19609,"7,468","12,141",38%,28.003866,-82.545317,,
Hillsborough,33635,18517,1397000,910069,65%,18163,"7,113","11,050",39%,28.016174,-82.611958,,
Hillsborough,33637,18417,1397000,910069,65%,16651,"6,352","10,299",38%,28.049979,-82.363446,,
Pinellas,33701,19376,959874,694843,72%,25175,"10,330","14,845",41%,27.770612,-82.636238,,5799
Polk,33801,32970,665823,458027,69%,28474,"10,579","17,895",37%,28.042681,-81.906626,,-4496
Polk,33803,29675,665823,458027,69%,31091,"13,167","17,924",42%,28.015437,-81.935205,,1416
Polk,33805,27347,665823,458027,69%,24203,"9,086","15,117",38%,28.094722,-81.945372,,-3144
Lee,33974,17770,722649,475913,66%,11765,"4,207","7,558",36%,26.559548,-81.613016,,-6005
Lee,33976,17170,722649,475913,66%,10347,"3,577","6,770",35%,26.586381,-81.687654,,-6823
Charlotte,33980,13407,177671,148913,84%,13897,"6,029","7,868",43%,26.980088,-82.05226,,490
Charlotte,33982,12593,177671,148913,84%,12939,"5,469","7,470",42%,26.901981,-81.791609,,346
Putnam,32666,5679,72373,49666,69%,7853,"3,374","4,479",43%,29.724643,-82.002428,,2174
Pasco,33541,25278,509937,383878,75%,23848,"9,786","14,062",41%,28.231478,-82.219326,,-1430
Volusia,32176,17730,528453,387467,73%,20777,"9,020","11,757",43%,29.346048,-81.067604,,3047
Union,32054,10403,15252,7498,49%,11233,"4,839","6,394",43%,30.031356,-82.38149,,830
Alachua,32667,3649,263959,186019,70%,5447,"2,401","3,046",44%,29.552447,-82.313962,,1798
Levy,32668,6019,39837,29382,74%,6317,"2,661","3,656",42%,29.254058,-82.52816,,298
Alachua,32669,15554,263959,186019,70%,18531,"8,013","10,518",43%,29.631327,-82.581421,,2977
